n,fraction_heads
1,1.000000000000
2,0.500000000000
3,0.333333333333
4,0.500000000000
5,0.400000000000
6,0.500000000000
7,0.571428571429
8,0.500000000000
9,0.555555555556
10,0.600000000000
11,0.636363636364
12,0.666666666667
13,0.692307692308
14,0.714285714286
15,0.666666666667
16,0.687500000000
17,0.647058823529
18,0.611111111111
19,0.578947368421
20,0.550000000000
21,0.523809523810
22,0.500000000000
23,0.521739130435
24,0.500000000000
25,0.480000000000
26,0.500000000000
27,0.518518518519
28,0.500000000000
29,0.517241379310
30,0.533333333333
31,0.548387096774
32,0.562500000000
33,0.545454545455
34,0.558823529412
35,0.571428571429
36,0.555555555556
37,0.567567567568
38,0.552631578947
39,0.564102564103
40,0.550000000000
41,0.536585365854
42,0.547619047619
43,0.534883720930
44,0.522727272727
45,0.533333333333
46,0.543478260870
47,0.531914893617
48,0.541666666667
49,0.530612244898
50,0.520000000000
51,0.529411764706
52,0.538461538462
53,0.528301886792
54,0.537037037037
55,0.545454545455
56,0.535714285714
57,0.526315789474
58,0.517241379310
59,0.525423728814
60,0.516666666667
61,0.524590163934
62,0.532258064516
63,0.539682539683
64,0.546875000000
65,0.553846153846
66,0.545454545455
67,0.552238805970
68,0.558823529412
69,0.565217391304
70,0.571428571429
71,0.563380281690
72,0.569444444444
73,0.575342465753
74,0.567567567568
75,0.560000000000
76,0.552631578947
77,0.545454545455
78,0.551282051282
79,0.556962025316
80,0.562500000000
81,0.555555555556
82,0.548780487805
83,0.554216867470
84,0.547619047619
85,0.541176470588
86,0.546511627907
87,0.551724137931
88,0.556818181818
89,0.561797752809
90,0.566666666667
91,0.571428571429
92,0.565217391304
93,0.559139784946
94,0.553191489362
95,0.547368421053
96,0.541666666667
97,0.546391752577
98,0.551020408163
99,0.555555555556
100,0.560000000000
1000,0.511000000000
2000,0.508000000000
3000,0.507666666667
4000,0.510000000000
5000,0.508400000000
6000,0.508666666667
7000,0.511714285714
8000,0.513125000000
9000,0.512555555556
10000,0.513000000000
11000,0.513909090909
12000,0.513416666667
13000,0.512461538462
14000,0.511357142857
15000,0.510400000000
16000,0.510312500000
17000,0.509235294118
18000,0.510166666667
19000,0.510368421053
20000,0.510100000000
21000,0.509190476190
22000,0.509181818182
23000,0.508652173913
24000,0.508000000000
25000,0.507600000000
26000,0.508615384615
27000,0.507703703704
28000,0.506535714286
29000,0.505620689655
30000,0.505400000000
31000,0.505290322581
32000,0.505000000000
33000,0.504272727273
34000,0.504441176471
35000,0.504428571429
36000,0.504333333333
37000,0.504378378378
38000,0.504105263158
39000,0.503589743590
40000,0.503500000000
41000,0.503707317073
42000,0.503690476190
43000,0.503209302326
44000,0.504068181818
45000,0.503644444444
46000,0.503760869565
47000,0.503723404255
48000,0.504083333333
49000,0.504081632653
50000,0.504240000000
51000,0.504313725490
52000,0.504903846154
53000,0.504830188679
54000,0.504722222222
55000,0.504381818182
56000,0.504053571429
57000,0.504000000000
58000,0.503982758621
59000,0.504440677966
60000,0.504233333333
61000,0.504180327869
62000,0.504080645161
63000,0.503793650794
64000,0.503109375000
65000,0.502676923077
66000,0.502257575758
67000,0.502149253731
68000,0.502058823529
69000,0.501608695652
70000,0.501557142857
71000,0.501676056338
72000,0.501402777778
73000,0.501095890411
74000,0.500810810811
75000,0.500760000000
76000,0.500921052632
77000,0.501012987013
78000,0.501269230769
79000,0.500810126582
80000,0.501187500000
81000,0.501382716049
82000,0.501414634146
83000,0.501240963855
84000,0.501595238095
85000,0.501741176471
86000,0.501616279070
87000,0.501793103448
88000,0.501829545455
89000,0.501719101124
90000,0.501688888889
91000,0.501725274725
92000,0.501467391304
93000,0.501354838710
94000,0.501234042553
95000,0.501063157895
96000,0.501239583333
97000,0.501257731959
98000,0.501255102041
99000,0.501101010101
100000,0.501010000000
